number,site,long,lat,species,sex,date,time,wt,svl,tail,bt,at,month,note_book,time_orig,season,diel,adult,dug,total_v
15107,KLK,20.44,-25.45,Trachylepis sparsa,M,1969-11-29,12.88,NA,79,103,36.4,34.4,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1253,spring,diurnal,yes,no,0.33
15108,KLK,20.44,-25.45,Trachylepis sparsa,F,1969-11-29,13,NA,83,73,36.6,35.2,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1300,spring,diurnal,yes,no,0.325
15109,KLK,20.44,-25.45,Trachylepis sparsa,F,1969-11-29,16,NA,93,NA,NA,36.4,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1600,spring,diurnal,yes,no,0.025
15110,KLK,20.44,-25.45,Trachylepis sparsa,M,1969-11-29,16.02,NA,86,113,38,36.4,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1601,spring,diurnal,yes,no,0.2
15111,KLK,20.44,-25.45,Trachylepis spilogaster,F,1969-11-29,16.17,NA,63,51,36,37.2,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1610,spring,diurnal,yes,no,0.05
15112,KLK,20.44,-25.45,Trachylepis spilogaster,M,1969-11-29,16.28,NA,71,115,35.8,36.8,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1617,spring,diurnal,yes,no,0.075
15113,KLL,20.43,-26.23,Nucras tessellata,M,1969-11-28,15.08,NA,63,NA,38.4,31.3,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1505,spring,diurnal,no,no,0.15
15114,KLL,20.43,-26.23,Pedioplanis lineoocellata,F,1969-11-28,15.67,NA,56,NA,36.8,32.6,11,5.Kalahari-LC-FieldBook-16426-18493.pdf,1540,spring,diurnal,yes,no,0.015
15115,KLL,20.43,-26.23,Pedioplanis namaquensis,F,1969-11-28,15.78,NA,52,31,38,32.2,11,6.Kalahari-RBH-FieldBook-18494-19947.pdf,1547,spring,diurnal,no,no,0.05
15116,KLL,20.43,-26.23,Trachylepis sparsa,F,1969-11-28,15.92,NA,74,114,35.2,32,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1555,spring,diurnal,yes,no,0.05
15117,KLL,20.43,-26.23,Trachylepis sparsa,F,1969-11-28,15.93,NA,64,87,36.6,32,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1556,spring,diurnal,no,no,0.3
15118,KLL,20.43,-26.23,Trachylepis sparsa,F,1969-11-28,16.07,NA,83,70,33.1,32,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1604,spring,diurnal,yes,no,0.1
15119,KLL,20.43,-26.23,Meroles suborbitalis,M,1969-11-28,16.47,NA,56,108,36,32.2,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1628,spring,diurnal,yes,no,0.025
15120,KLL,20.43,-26.23,Pedioplanis namaquensis,M,1969-11-28,16.67,NA,54,NA,37.2,31.6,11,6.Kalahari-RBH-FieldBook-18494-19947.pdf,1640,spring,diurnal,yes,no,0.015
15122,KLL,20.43,-26.23,Nucras tessellata,F,1969-11-28,17.25,NA,65,146,39.6,31.5,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1715,spring,diurnal,no,no,0.15
15123,KLL,20.43,-26.23,Agama aculeata,M,1969-11-28,17.67,NA,111,170,35.6,30.6,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,1740,spring,diurnal,yes,no,1.5
15124,KLL,20.43,-26.23,Chondrodactylus angulifer,F,1969-11-28,20.58,NA,84,56,23,24.2,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2035,spring,nocturnal,no,no,0.075
15125,KLL,20.43,-26.23,Chondrodactylus angulifer,F,1969-11-28,20.75,NA,90,62,22,24.5,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2045,spring,nocturnal,no,no,0.4
15126,KLL,20.43,-26.23,Acontias kgalagadi,F,1969-11-28,20.92,NA,133,20,NA,NA,11,1.Kalahari-RBH-FieldBook 15002-165073,2055,spring,fossorial,yes,no,0.2055
15127,KLL,20.43,-26.23,Chondrodactylus angulifer,M,1969-11-28,NA,NA,88,64,24.8,24.2,11,5.Kalahari-LC-FieldBook-16426-18493.pdf,NA,spring,nocturnal,no,no,0.1
15128,KLL,20.43,-26.23,Ptenopus garrulus,F,1969-11-28,NA,NA,47,24,28,23,11,7.Kalahari-LC-FieldBook-18528-19938.pdf,NA,spring,nocturnal,no,no,NA
15131,KLK,20.44,-25.45,Trachylepis sparsa,F,1969-11-30,11.08,NA,90,92,33.5,34.1,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1105,spring,diurnal,yes,no,0.12
15132,KLK,20.44,-25.45,Trachylepis sparsa,M,1969-11-30,11.25,NA,85,112,35.6,34.2,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1115,spring,diurnal,yes,no,0.05
15133,KLK,20.44,-25.45,Trachylepis sparsa,F,1969-11-30,11.5,NA,69,97,36.2,36.3,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1130,spring,diurnal,no,no,0.03
